English Remarks,Medicine Type,dose
1 Evening,Tab ,0-0-1
1/2 Evening,Tab ,0-0-1/2
1 Morning - 1 Noon,Cap ,1/1/00
1 Morning - 1 Noon - 1 Evening,Cap ,1/1/01
1/2 Noon,Tab ,0-1/2-0
1/2 Noon - 1/2 Evening,Tab ,0-1/2-1/2
1 Noon,Tab ,0-1-0
1 Noon - 1 Evening,Tab ,0-1-1
1/2 Morning,Tab ,1/2-0-0
1/2 Morning - 1/2 Evening,Tab ,1/2-0-1/2
1/2 Morning - 1/2 Noon,Tab ,1/2-0-1/2
1/2 Morning - 1/2 Noon - 1/2 Evening,Tab ,1/2-1/2-1/2
1 Morning,Tab,1-0-0
1 Morning - 1 Evening,Tab ,1-0-1
1 Morning - 1 Noon,Tab ,1/1/00
1 Morning - 1 Noon - 1 Evening,Tab ,1/1/01
1 Night,Cap ,0-0-1
1/2 Night,Cap ,0-0-1/2
1/2 Noon,Cap,0-1/2-0
1/2 Noon - 1/2 Evening,Cap ,0-1/2-1/2
1 Noon,Cap,0-1-0
1 Noon - 1 Evening,Cap ,0-1-1
1/2 Morning,Cap,1/2-0-0
1/2 Morning - 1/2 Evening,Cap ,1/2-0-1/2
1/2 Morning - 1/2 Noon,Cap ,1/2-1/2-0
1/2 Morning - 1/2 Noon - 1/2 Evening,Cap ,1/2-1/2-1/2
1 Morning,Cap,1-0-0
1 Morning - 1 Evening,Cap ,1-0-1
1 Morning - 1 Noon,Cap ,1/1/00
1 Morning - 1 Noon - 1 Evening,Cap ,1/1/01
Apply Morning - Afternoon - Evening,Tube  ,1/1/01
One Spoon Morning - Noon - Evening,Syp ,1/1/01
One Spoon Morning - Evening,Syp ,1-0-1
One Spoon Morning - Noon,Syp ,1/1/00
One Spoon Noon - Evening,Syp ,0-1-1
Half Spoon Morning - Noon Ð Evening,Syp ,1/2-1/2-1/2
Half Spoon Morning - Evening,Syp ,1/2-0-1/2
Half Spoon Morning Ð Noon,Syp ,1/2-1/2-0
Half Spoon Noon - Evening,Syp ,0-1/2-1/2
Four Spoon Daily,Syp  ,1-1-1-1
Apply Morning - Evening,Tube ,1-0-1
Apply Morning - Afternoon,Tube ,1/1/00
Apply  Afternoon Ð Evening,Tube ,0-1-1
